,id,mineral,min_age,max_age,locality_longname,rarity_group,is_outlier
255,2550,Malachite,2500.0,4000.0,"Sulphur Springs Prospect, Panorama Area, Shaw River District, East Pilbara Shire, Western Australia, Australia",Ubiquitous,True
256,2550,Malachite,2500.0,4000.0,"Gossan Hill Cu-Zn Deposit, Golden Grove Mine, Yalgoo Shire, Western Australia, Australia",Ubiquitous,True
257,2550,Malachite,2500.0,4000.0,"Raiville Mine (Dunraine Mine), Val D'Or, La Vall̩e-de-l'Or RCM, Abitibi-T̩miscamingue, Qu̩bec, Canada",Ubiquitous,True
258,2550,Malachite,2512.82,2792.82,"Ironwood, Gogebic Iron Range, Gogebic Co., Michigan, USA",Ubiquitous,True
259,2550,Malachite,2594.0,2727.0,"Mount Charlotte Gold Mine, Kalgoorlie-Boulder, Kalgoorlie-Boulder Shire, Western Australia, Australia",Ubiquitous,True
260,2550,Malachite,2595.0,2724.0,"Boddington Mine, Boddington, Boddington Shire, Western Australia, Australia",Ubiquitous,True
266,2550,Malachite,2800.0,2932.0,"Sherlock Bay Deposit, Roebourne, Roebourne Shire, Western Australia, Australia",Ubiquitous,True
267,2550,Malachite,3040.0,3640.0,"Barberton, Ehlanzeni District, Mpumalanga, South Africa",Ubiquitous,True
268,2550,Malachite,3117.0,3351.0,"Coppin Gap Cu-Mo Deposit (Spinifex Ridge), Bamboo Creek District, East Pilbara Shire, Western Australia, Australia",Ubiquitous,True
275,2758,Monohydrocalcite,0.0,2500.0,"New Mexico, USA",Ubiquitous,True
276,2831,Nahcolite,66.0,2647.0,"Inner Mongolia, China",Ubiquitous,True
277,2935,Northupite,66.0,2647.0,"Inner Mongolia, China",Transitional,True
279,2971,Olekminskite,541.0,2500.0,"Pilanesberg Alkaline Complex, Bojanala Platinum District, North West, South Africa",Transitional,True
282,3120,Parisite-(Ce),541.0,2500.0,"Pilanesberg Alkaline Complex, Bojanala Platinum District, North West, South Africa",Ubiquitous,True
283,3195,Phosgenite,65.0,3350.0,"Coppin Pool, Tom Price, Ashburton Shire, Western Australia, Australia",Ubiquitous,True
284,3220,Pirssonite,66.0,2647.0,"Inner Mongolia, China",Transitional,True
287,3383,Reevesite,0.0,4000.0,"Otway Ni Deposit, Nullagine, East Pilbara Shire, Western Australia, Australia",Transitional,True
289,3383,Reevesite,4480.0,4620.0,"Canyon Diablo Meteorite, Meteor Crater Area, Coconino Co., Arizona, USA",Transitional,True
290,3406,Rhodochrosite,541.0,2500.0,"Samiuki Mine, Um Samiuki, Eastern Desert, Red Sea, Egypt",Ubiquitous,True
291,3406,Rhodochrosite,541.0,2500.0,"Pilanesberg Alkaline Complex, Bojanala Platinum District, North West, South Africa",Ubiquitous,True
292,3406,Rhodochrosite,669.0,3411.0,"Gogebic Co., Michigan, USA",Ubiquitous,True
293,3406,Rhodochrosite,2110.0,2644.0,"Tanco Mine (Bernic Lake Mine), Bernic Lake, Lac-du-Bonnet Area, Manitoba, Canada",Ubiquitous,True
294,3406,Rhodochrosite,2180.0,2660.0,"Red Cross Lake Pegmatites, Red Cross Lake, Manitoba, Canada",Ubiquitous,True
297,3447,Rosasite,65.0,3350.0,"Coppin Pool, Tom Price, Ashburton Shire, Western Australia, Australia",Ubiquitous,True
298,3447,Rosasite,470.0,2500.0,"Cloncurry Shire, Queensland, Australia",Ubiquitous,True
300,3647,Siderite,0.0,2500.0,"Paratoo Copper Mine, Yunta, Olary Province, South Australia, Australia",Ubiquitous,True
301,3647,Siderite,0.0,2709.0,"132 North Ni Mine (Mount Edwards Mine), Widgiemooltha, Coolgardie Shire, Western Australia, Australia",Ubiquitous,True
302,3647,Siderite,0.0,4000.0,"Otway Ni Deposit, Nullagine, East Pilbara Shire, Western Australia, Australia",Ubiquitous,True
303,3647,Siderite,541.0,2500.0,"Yinachang Fe-Cu-REE Deposit, Wuding Co., Chuxiong, Yunnan, China",Ubiquitous,True
304,3647,Siderite,541.0,2500.0,"Antler Mine (Antler Gold Mine; Spuyten Duyvel Mine), Arrastra Mt., Hualapai District, Hualapai (Hualpai) Mts, Mohave Co., Arizona, USA",Ubiquitous,True
305,3647,Siderite,1491.0,2500.0,"Dongshengmiao Mine, Urad Rear Banner (Wulate Houqi), Bayan Nur League (Bayannao'er Prefecture), Inner Mongolia, China",Ubiquitous,True
306,3647,Siderite,1600.0,2500.0,"Sherritt Gordon Mine (Sherridon Mine), Sherridon District, Manitoba, Canada",Ubiquitous,True
307,3647,Siderite,1600.0,2500.0,"Zawar Mines, Udaipur, Udaipur District, Udaipur Division, Rajasthan, India",Ubiquitous,True
309,3647,Siderite,2500.0,4000.0,"Gossan Hill Cu-Zn Deposit, Golden Grove Mine, Yalgoo Shire, Western Australia, Australia",Ubiquitous,True
324,3647,Siderite,2782.0,2969.0,"Gravelotte, Murchison Range, Limpopo, South Africa",Ubiquitous,True
325,3647,Siderite,3067.0,3254.0,"Bangur Gabbro, Baula Complex, Odisha, India",Ubiquitous,True
326,3688,Smithsonite,1.5,2500.0,"Komdok Mine, Sindong-ni, Puktuil-myon, Tanchon-gun, South Hamgyong Province, North Korea",Ubiquitous,True
327,3688,Smithsonite,470.0,2500.0,"Cloncurry Shire, Queensland, Australia",Ubiquitous,True
328,3688,Smithsonite,541.0,2500.0,"Antler Mine (Antler Gold Mine; Spuyten Duyvel Mine), Arrastra Mt., Hualapai District, Hualapai (Hualpai) Mts, Mohave Co., Arizona, USA",Ubiquitous,True
329,3688,Smithsonite,541.0,2500.0,"Willow Creek District, San Miguel Co., New Mexico, USA",Ubiquitous,True
330,3688,Smithsonite,2220.0,2918.0,"Wodgina Tantalite Mine (Wodgina Pegmatite; Main Tantalite Dyke), Wodgina, Abydos Station, Port Hedland Shire, Western Australia, Australia",Ubiquitous,True
335,3784,Stichtite,2782.0,2906.0,"Murchison Mine, Gravelotte, Murchison Range, Limpopo, South Africa",Transitional,True
