mineral,max_age,counts
Dolomite,124.0,1
Malachite,124.6,1
Malachite,125.0,2
Calcite,125.0,3
Dolomite,125.0,2
Azurite,125.0,1
Aragonite,125.0,1
Ankerite,125.0,2
Siderite,125.0,3
Cerussite,125.0,1
Cerussite,126.0,1
Smithsonite,126.0,1
Calcite,126.0,1
Calcite,128.8,1
Azurite,128.8,1
Siderite,128.8,1
Malachite,128.8,1
Siderite,129.0,1
Dolomite,129.0,1
Ankerite,129.0,1
Calcite,129.0,1
Dolomite,130.0,1
Calcite,130.0,5
Siderite,130.0,1
Siderite,131.0,1
Calcite,131.0,1
Dolomite,131.0,1
Calcite,132.0,2
Malachite,132.0,2
Azurite,132.0,1
Siderite,133.0,1
Calcite,133.0,2
Dolomite,133.0,1
Calcite,133.6,1
Calcite,133.9,1
Calcite,134.0,1
Dolomite,134.6,1
Malachite,135.0,2
Calcite,135.0,1
Azurite,135.0,1
Siderite,136.8,1
Rhodochrosite,136.8,1
Dolomite,136.8,1
Calcite,136.8,1
Calcite,137.0,1
Calcite,138.3,1
Dolomite,138.3,1
Aragonite,138.3,1
Siderite,138.3,1
Rhodochrosite,138.3,1
Calcite,139.2,1
Calcite,140.0,1
Ankerite,140.0,1
Siderite,140.0,1
Dolomite,140.0,1
Azurite,140.3,1
Ankerite,140.5,1
Dolomite,140.5,1
Siderite,140.5,1
Calcite,140.5,1
Dolomite,141.4,1
Calcite,141.4,1
Siderite,142.0,1
Ankerite,142.0,1
Calcite,142.0,2
Malachite,142.0,1
Calcite,142.6,1
Calcite,142.8,1
Calcite,143.0,2
Azurite,143.0,1
Malachite,143.0,1
Malachite,143.3,1
Azurite,143.3,1
Calcite,143.3,1
Cerussite,143.3,1
Malachite,143.8,1
Azurite,143.8,1
Calcite,143.8,2
Cerussite,144.0,1
Azurite,144.0,2
Calcite,144.0,2
Dolomite,144.0,1
Ankerite,144.0,1
Malachite,144.0,2
Calcite,144.5,1
Malachite,144.6,1
Azurite,144.6,1
Malachite,145.0,20
Azurite,145.0,7
Smithsonite,145.0,7
Cerussite,145.0,8
Ankerite,145.0,14
Dolomite,145.0,31
Calcite,145.0,38
Siderite,145.0,31
Rhodochrosite,145.0,2
Siderite,145.5,2
Malachite,145.5,3
Azurite,145.5,3
Dolomite,145.8,1
Calcite,145.8,1
Cerussite,145.8,1
Ankerite,145.8,1
Calcite,146.0,1
Malachite,146.0,2
Azurite,146.0,1
Dolomite,146.1,1
Calcite,146.1,1
Smithsonite,146.1,1
Siderite,147.0,1
Calcite,147.0,2
Dolomite,147.0,1
Ankerite,147.0,1
Calcite,149.23,1
Malachite,149.23,1
Calcite,150.0,4
Malachite,150.0,1
Dolomite,150.0,2
Siderite,150.0,2
Aragonite,150.0,1
Azurite,150.0,2
Calcite,150.2,1
Malachite,150.9,1
Siderite,150.9,1
Calcite,150.9,1
Calcite,151.0,1
Dolomite,151.8,1
Rhodochrosite,151.8,1
Calcite,153.0,1
Dolomite,154.0,1
Calcite,154.0,1
Calcite,154.44,1
Calcite,156.0,1
Malachite,156.3,1
Azurite,156.3,1
Calcite,156.3,1
Siderite,156.7,1
Ankerite,156.7,1
Rhodochrosite,156.7,1
Calcite,156.7,1
Dolomite,156.7,1
Azurite,157.0,1
Malachite,157.0,1
Siderite,158.0,1
Dolomite,158.0,1
Calcite,158.0,1
Calcite,158.2,1
Calcite,158.9,1
Ankerite,159.0,1
Dolomite,159.0,1
Calcite,159.0,1
Dolomite,160.0,2
Calcite,160.0,1
Aragonite,161.0,1
Azurite,161.0,1
Dolomite,161.0,1
Siderite,161.0,2
Calcite,161.0,2
Malachite,161.0,1
Malachite,163.0,1
Calcite,163.0,6
Aragonite,163.0,2
Rhodochrosite,163.2,1
Calcite,163.2,1
Siderite,163.2,1
Dolomite,163.2,1
Aragonite,164.0,1
Dolomite,164.0,3
Calcite,164.0,2
Malachite,164.0,2
Siderite,164.0,1
Malachite,164.5,1
Azurite,164.5,1
Siderite,164.7,1
Azurite,164.7,1
Dolomite,164.7,1
Calcite,164.7,1
Smithsonite,164.7,1
Siderite,165.0,1
Cerussite,165.0,1
Calcite,165.0,1
Malachite,165.8,1
